BOND TYPE                ATOMS                    R                        TS                       P                        TS-R                     % CHANGE                 P-TS                     % CHANGE                 
BD*                      C[5]- C[6]               1.99666                  -0.64742                 1.75671                  0.49618                  24.8505003356            -0.73613                 -29.5297732706           
BD*                      C[6]- H[10               1.6294                   -0.64742                 2.09759                  0.86344                  52.9912851356            -0.39525                 -15.8554098939           
BD*                      C[6]- H[11               1.90404                  -0.64742                 1.81131                  0.5888                   30.9237200899            -0.68153                 -27.3395003289           
BD*                      C[6]- H[12               2.17923                  -0.64742                 2.50869                  0.31361                  14.3908628277            0.01585                  0.635820991319           
BD*                      C[9]- O[3]               2.42003                  -0.64742                 1.48445                  0.07281                  3.00864038876            -1.00839                 -40.4514529613           
BD*                      C[9]- O[4]               2.15991                  -0.64742                 0.82187                  0.33293                  15.4140681788            -1.67097                 -67.0307761429           
BD*                      C[9]- O[4]               1.17112                  -0.64742                 1.39981                  1.32172                  112.859484937            -1.09303                 -43.8467771698           
BD*                      C[8]- H[13               1.38597                  -0.64742                 1.89263                  1.10687                  79.8624789858            -0.60021                 -24.077357552            
BD*                      C[8]- H[14               1.55185                  -0.64742                 1.0933                   0.94099                  60.636659471             -1.95104                 -64.0874540951           
BD*                      C[8]- H[15               4.43203                  -0.64742                 1.25949                  -1.93919                 -43.7539908349           -1.78485                 -58.6284711957           
